title,content,page,source,source_file
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 9. Trách nhiệm của Trung tâm Truyền thông và Trải nghiệm - Việc làm sinh viên (Phần 2),"cung cấp thông tin về học vụ cho sinh viên; quản lý nhân sự phụ trách công tác Đoàn Thanh niên - Hội Sinh viên Trường, các Câu lạc bộ sinh viên (trừ các Câu lạc bộ học thuật do các Khoa quản lý); hướng dẫn sinh viên tự tổ chức các hoạt động ngoại khóa. 3. Phối họp với các Khoa và Phòng Đào tạo Đại học tư vấn và tiếp nhận yêu cầu học vụ của sinh viên; giải quyết và trả lời cho sinh viên đúng hạn. 4. Kết nối với các doanh nghiệp, các đơn vị, tổ chức xã hội để tìm kiếm nguồn tài trợ, học bổng cho",3,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_18.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 9. Trách nhiệm của Trung tâm Truyền thông và Trải nghiệm - Việc làm sinh viên (Phần 3),"nghiệp, các đơn vị, tổ chức xã hội để tìm kiếm nguồn tài trợ, học bổng cho sinh viên; tìm kiếm và giới thiệu việc làm trong quá trình học tập và sau khi tốt nghiệp cho sinh viên; tìm kiếm và giới thiệu chỗ ở cho sinh viên; chủ trì tổ chức các hoạt động tham quan, trải nghiệm tại doanh nghiệp, field trip. 5. Phổ biến vệ sinh học đường, phòng chống dịch bệnh, tai nạn thương tích, các bệnh truyền nhiễm và những vấn đề y tế học đường khác; tổ chức tiếp xúc và chia sẻ với những sinh viên gặp khó",3,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_19.csv
"QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương I NHỮNG QUY ĐỊNH CHUNG - Điều 1. Căn cứ pháp lý, phạm vi điều chỉnh và đối tượng áp dụng - Mục 2. Phạm vi điều chỉnh","Quy chế này quy định về công tác trải nghiệm của người học, bao gồm: trách nhiệm và quyền lợi của người học; trách nhiệm của Trường Đại học Hoa Sen; đánh giá kết quả rèn luyện sinh viên hệ chính quy; khen thưởng – kỷ luật; học bổng.",1,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_2.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 9. Trách nhiệm của Trung tâm Truyền thông và Trải nghiệm - Việc làm sinh viên (Phần 4),"đề y tế học đường khác; tổ chức tiếp xúc và chia sẻ với những sinh viên gặp khó khăn trong học tập, sinh hoạt tại Trường; định kỳ tổ chức các chuyên đề về tâm lý, tình yêu, quan hệ giao tiếp, kỹ năng sống, sức khỏe giới tính; tổ chức khám sức khỏe, phối hợp triển khai thực hiện các loại bảo hiểm cho sinh viên. 6. Sơ cấp cứu ban đầu: xử trí cấp cứu, chuyển lên tuyến trên những trường hợp cấp thiết; thực hiện công tác phòng chống dịch bệnh; phối hợp với các đơn vị, đoàn thể trong Trường thực hiện",3,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_20.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 9. Trách nhiệm của Trung tâm Truyền thông và Trải nghiệm - Việc làm sinh viên (Phần 5),"phòng chống dịch bệnh; phối hợp với các đơn vị, đoàn thể trong Trường thực hiện công tác y tế trường học, xây dựng môi trường học an toàn, lành mạnh; tuyên truyền, vận động sinh viên mua Bảo hiểm Y tế và Bảo hiểm Tai nạn. 7. Tổ chức các buổi hội thảo, chuyên đề ngoại khóa, các lóp rèn luyện kỹ năng nghề nghiệp, kinh nghiệm chuẩn bị xin việc làm và hội nhập môi trường lao động; giao lưu tuyển dụng và giới thiệu nguồn nhân lực theo yêu cầu của doanh nghiệp; tổng hợp các thông tin tuyển dụng và",3,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_21.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 9. Trách nhiệm của Trung tâm Truyền thông và Trải nghiệm - Việc làm sinh viên (Phần 6),"nhân lực theo yêu cầu của doanh nghiệp; tổng hợp các thông tin tuyển dụng và phổ biến cho sinh viên sắp tốt nghiệp. 8. Phối hợp với các đơn vị thuộc Trường tổ chức tư vấn, tìm kiếm phòng trọ cho thí sinh, trải nghiệm sinh viên tình nguyện; hướng dẫn tân sinh viên nhập học, các thông tin ký túc xá, nhà trọ; hướng dẫn và tiếp nhận, tổng hợp hồ sơ sinh viên dự tuyển học bổng; thực hiện đánh giá, phân loại, xem xét khen thưởng và kỷ luật sinh viên theo đúng quy định; tổng hợp danh sách đăng ký sĩ",3,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_22.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 9. Trách nhiệm của Trung tâm Truyền thông và Trải nghiệm - Việc làm sinh viên (Phần 7),"thưởng và kỷ luật sinh viên theo đúng quy định; tổng hợp danh sách đăng ký sĩ quan dự bị của sinh viên; giải quyết các vấn đề về an ninh, trật tự liên quan đến sinh viên. 9. Giám sát các đơn vị thực hiện giải quyết yêu cầu học vụ, trải nghiệm và chăm sóc sinh viên theo quy định của Trường; thực hiện các quy chế, quy định, quy trình liên quan đến học tập, rèn luyện và hoạt động của sinh viên; phối hợp với các Khoa và Phòng Đào tạo Đại học hướng dẫn và xử lý các trường hợp sinh viên thuộc tình",3,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_23.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 9. Trách nhiệm của Trung tâm Truyền thông và Trải nghiệm - Việc làm sinh viên (Phần 8),"và Phòng Đào tạo Đại học hướng dẫn và xử lý các trường hợp sinh viên thuộc tình trạng cảnh báo buộc thôi học. 10. Xây dựng mạng lưới cựu sinh viên của Trường; đầu mối tiếp nhận các ý kiến đóng góp, phản hồi, khiếu nại và xin cứu xét của sinh viên, chuyển đến các đơn vị liên quan xử lý, giải quyết theo quy định của Trường. 11. Chủ trì, phối hợp với Phòng Đào tạo Đại học và Khoa để tổ chức, quản lý và ban hành quyết định công nhận Ban Cán sự các lớp ngành sinh viên chương trình đào tạo hệ chính",3,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_24.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 9. Trách nhiệm của Trung tâm Truyền thông và Trải nghiệm - Việc làm sinh viên (Phần 9),"định công nhận Ban Cán sự các lớp ngành sinh viên chương trình đào tạo hệ chính quy. a) Lớp ngành được tổ chức theo khóa và ngành đào tạo, mỗi lớp ngành có số lượng từ 60 sinh viên trở lên. Trong trường hợp một ngành của cùng một khóa có số lượng dưới 60 sinh viên thì gộp các lớp ngành chung của Khoa để đảm bảo đúng số lượng. b) Lớp ngành đưọ’c ổn định trong suốt thời gian đào tạo tại Trường để quản lý và triển khai các hoạt động có liên quan đến công tác học tập, trải nghiệm sinh viên. c) Mỗi",3,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_25.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 9. Trách nhiệm của Trung tâm Truyền thông và Trải nghiệm - Việc làm sinh viên (Phần 10),"các hoạt động có liên quan đến công tác học tập, trải nghiệm sinh viên. c) Mỗi lớp ngành có một Giảng viên phụ trách và có Ban Cán sự lóp để quản lý và tổ chức điều hành mọi hoạt động của lớp theo quy định.",3,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_26.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 10. Trách nhiệm của Viện Đào tạo quốc tế (Phần 1),"1. Xây dựng quy định, quy trình liên quan đến công tác tuyển sinh, đào tạo quốc tế; kế hoạch đào tạo, hệ thống danh mục các chương trình đào tạo quốc tế. 2. Quản lý các chương trình liên kết đào tạo quốc tế. 3. Chịu trách nhiệm tổ chức tuyển sinh và chăm sóc trải nghiệm sinh viên chương trình liên kết quốc tế. 4. Thực hiện công tác quản lý học vụ, công nhận kết quả và cấp chứng chỉ/văn bằng cho sinh viên chương trình liên kết quốc tế; công việc khác về quản lý hành chính đối với hoạt động đào",4,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_27.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 10. Trách nhiệm của Viện Đào tạo quốc tế (Phần 2),"liên kết quốc tế; công việc khác về quản lý hành chính đối với hoạt động đào tạo quốc tế; quản lý, lưu trữ kết quả, các tài liệu học tập liên quan. 5. Tham mưu, đề xuất khen thưởng - kỷ luật, học bổng dành cho sinh viên chương trình liên kết quốc tế.",4,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_28.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 11. Trách nhiệm của Viện Đào tạo trực tuyến (Phần 1),"1. Xây dựng quy định, quy trinh liên quan đến công tác tuyển sinh, đào tạo trực tuyến, kế hoạch đào tạo trực tuyến, hệ thống danh mục các chương trình đào tạo trực tuyến. 2. Chịu trách nhiệm tổ chức tuyển sinh và tổ chức thực hiện đào tạo trực tuyến. 3. Chịu trách nhiệm chăm sóc trải nghiệm sinh viên thuộc chương trình đào tạo trực tuyến. 4. Thực hiện các công tác quản lý hành chính đối với hoạt động đào tạo trực tuyến; quản lý, lưu trữ kết quả, các tài liệu học tập liên quan. 5. Tham mưu, đề",4,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_29.csv
"QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương I NHỮNG QUY ĐỊNH CHUNG - Điều 1. Căn cứ pháp lý, phạm vi điều chỉnh và đối tượng áp dụng - Mục 3. Đối tượng áp dụng","Quy chế này áp dụng đối với người học tại Trường Đại học Hoa Sen và các đơn vị, cá nhân có liên quan.",1,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_3.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 11. Trách nhiệm của Viện Đào tạo trực tuyến (Phần 2),"quản lý, lưu trữ kết quả, các tài liệu học tập liên quan. 5. Tham mưu, đề xuất khen thưởng - kỷ luật, học bổng dành cho sinh viên thuộc chương trình đào tạo trực tuyến.",4,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_30.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 12. Trách nhiệm của Viện Sau Đại học & Lãnh đạo (Phần 1),"1. Xây dựng quy định, quy trình liên quan đến công tác tuyển sinh, đào tạo sau đại học, kế hoạch đào tạo, hệ thống danh mục các chương trình đào tạo sau đại học. 2. Phối hợp chặt chẽ với các đơn vị liên quan đến quá trình đào tạo sau đại học để đảm bảo tiến độ và chất lượng đào tạo, chất lượng luận văn thạc sĩ, luận án tiến sĩ; đảm bảo chuẩn hóa quy trình và quy định quản lý đào tạo sau đại học. 3. Phân công giảng viên hỗ trợ, hướng dẫn và nhân sự chăm sóc học viên cao học, nghiên cứu sinh. 4.",4,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_31.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 12. Trách nhiệm của Viện Sau Đại học & Lãnh đạo (Phần 2),"hỗ trợ, hướng dẫn và nhân sự chăm sóc học viên cao học, nghiên cứu sinh. 4. Tham mưu, đề xuất khen thưởng - kỷ luật, học bổng dành cho học viên cao học, nghiên cứu sinh.",4,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_32.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 13. Trách nhiệm của Khoa (Phần 1),"1. Cung cấp thông tin chương trình đào tạo, kế hoạch học tập đến sinh viên hệ chính quy. 2. Bảo đảm giảng dạy cho sinh viên hệ chính quy theo đúng chương trình đào tạo, kế hoạch giảng dạy đã công bố. 3. Quản lý việc học tập, nghiên cứu khoa học của sinh viên hệ chính quy thuộc Khoa. 4. Phối hợp với các đơn vị liên quan tổ chức đánh giá kết quả khảo sát kết thúc học phần. 5. Phân công giảng viên phụ trách lớp ngành theo từng khóa học. 6. Quản lý giáo dục toàn diện đối với sinh viên hệ chính quy;",5,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_33.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 13. Trách nhiệm của Khoa (Phần 2),"từng khóa học. 6. Quản lý giáo dục toàn diện đối với sinh viên hệ chính quy; kiểm tra, giám sát việc chấp hành quy chế đối với sinh viên hệ chính quy. 7. Tham gia các Hội đồng Khen thưởng kỷ luật, đánh giá kết quả trải nghiệm, xét học bổng cho sinh viên hệ chính quy và các công việc khác liên quan đến sinh viên hệ chính quy.",5,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_34.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 14. Trách nhiệm của Phòng Đào tạo Đại học,"1. Hướng dẫn thực hiện các quy định, quy chế đến sinh viên hệ chính quy. 2. Xây dựng kế hoạch và tổ chức triển khai thực hiện kế hoạch đào tạo, lịch trình, thời khóa biểu cho sinh viên hệ chính quy. 3. Phối hợp với các đơn vị liên quan thực hiện kiểm tra, giám sát việc đảm bảo quyền lợi và nghĩa vụ của sinh viên hệ chính quy liên quan đến công tác học vụ. 4. Quản lý hồ sơ sinh viên hệ chính quy. 5. Phối hợp với Trung tâm Truyền thông và Trải nghiệm - Việc làm sinh viên tổ chức các lóp ngành.",5,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_35.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 15. Trách nhiệm của Phòng Tài chính - Ke toán,"Chịu trách nhiệm thu học phí, lệ phí, hướng dẫn, kiểm tra, giám sát việc thực hiện việc đóng học phí, lệ phí, các chế độ, chính sách tài chính, tín dụng đối vói người học.",5,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_36.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 16. Trách nhiệm của Phòng Quản lý khoa học - Tạp chí khoa học,"Thực hiện việc triển khai hoạt động nghiên cứu khoa học của người học; làm đầu mối thẳm định, đánh giá các công trình nghiên cứu khoa học của người học.",5,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_37.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 17. Trách nhiệm của Thư viện,"1. Tổ chức xây dựng nguồn học liệu đầy đủ, phong phú. 2. Tổ chức quản lý, khai thác và cung cấp nguồn học liệu tốt nhất cho ngưò'i học. 3. Bảo đảm cho người học quyền được khai thác và sử dụng các nguồn tài liệu của thư viện phục vụ học tập, nghiên cứu khoa học.",5,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_38.csv
"QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 18. Trách nhiệm của Đoàn Thanh niên, Hội Sinh viên","1. Tổ chức, phối hợp tổ chức các hoạt động giáo dục chính trị, tư tưởng, đạo đức, nhân cách, lối sống và phổ biến những nội quy, quy định của Trường đến sinh viên. 2. Tổ chức, phối hợp tổ chức các hoạt động học thuật, nghiên cứu khoa học, hoạt động văn hóa, văn nghệ, thể thao, hoạt động ngoại khóa theo nội dung kế hoạch đã được cấp có thẩm quyền phê duyệt.",5,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_39.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương I NHỮNG QUY ĐỊNH CHUNG - Điều 2. Người học (Phần 1),"1. Người học được quy định tại Quy chế này bao gồm: sinh viên thuộc chương trình đào tạo trình độ đại học; học viên thuộc chương trình đào tạo trình độ cao học; nghiên cứu sinh thuộc chương trình đào tạo trình độ tiến sĩ và các đối tượng khác đang theo học tại tất cả các trình độ, chương trình, hình thức đào tạo của Trường (bao gồm hình thức đào tạo trực tiếp và trực tuyến). 2. Người học là trung tâm của các hoạt động đào tạo của Trường, được bảo đảm điều kiện thực hiện đầy đủ nhiệm vụ và quyền",1,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_4.csv
QUY CHẾ NGƯỜI HỌC TRƯỜNG ĐẠI HỌC HOA SEN - Chương III TRÁCH NHIỆM CỦA TRƯỜNG ĐẠI HỌC HOA SEN - Điều 19. Trách nhiệm của Giảng viên phụ trách lớp ngành (Phần 1),"1. Thông tin các hoạt động trải nghiệm của Trường, Khoa để sinh viên tham gia, giải đáp những thắc mắc liên quan đến các hoạt động trải nghiệm của Trường, Khoa. 2. Tham gia theo dõi quá trình rèn luyện của sinh viên thuộc lóp ngành phụ trách. 3. Tổ chức sinh hoạt lớp ngành đã được phân công theo định kỳ hàng tháng và điều phối lóp ngành tự đánh giá điểm rèn luyện theo thông báo của Trung tâm Truyền thông và Trải nghiệm - Việc làm sinh viên. 4. Thường xuyên nắm bắt tình hình, diễn biến tư tưởng",5,Ban hành Quy chế người học.pdf,Ban hành Quy chế người học_chunk_40.csv
